 time            v(in)           v(out)         
 8.92500000e-09  9.00000000e-01  9.73850973e-01 
 8.93500000e-09  9.00000000e-01  9.73854055e-01 
 8.94500000e-09  9.00000000e-01  9.73856434e-01 
 8.95500000e-09  9.00000000e-01  9.73858955e-01 
 8.96500000e-09  9.00000000e-01  9.73860844e-01 
 8.97500000e-09  9.00000000e-01  9.73862912e-01 
 8.98500000e-09  9.00000000e-01  9.73864406e-01 
 8.99500000e-09  9.00000000e-01  9.73866106e-01 
 9.00500000e-09  9.00000000e-01  9.73867283e-01 
 9.01500000e-09  9.00000000e-01  9.73868685e-01 
 9.02500000e-09  9.00000000e-01  9.73869607e-01 
 9.03500000e-09  9.00000000e-01  9.73870767e-01 
 9.04500000e-09  9.00000000e-01  9.73871484e-01 
 9.05500000e-09  9.00000000e-01  9.73872448e-01 
 9.06500000e-09  9.00000000e-01  9.73873000e-01 
 9.07500000e-09  9.00000000e-01  9.73873805e-01 
 9.08500000e-09  9.00000000e-01  9.73874224e-01 
 9.09500000e-09  9.00000000e-01  9.73874900e-01 
 9.10500000e-09  9.00000000e-01  9.73875214e-01 
 9.11500000e-09  9.00000000e-01  9.73875784e-01 
 9.12500000e-09  9.00000000e-01  9.73876013e-01 
 9.13500000e-09  9.00000000e-01  9.73876498e-01 
 9.14500000e-09  9.00000000e-01  9.73876659e-01 
 9.15500000e-09  9.00000000e-01  9.73877074e-01 
 9.16500000e-09  9.00000000e-01  9.73877181e-01 
 9.17500000e-09  9.00000000e-01  9.73877539e-01 
 9.18500000e-09  9.00000000e-01  9.73877603e-01 
 9.19500000e-09  9.00000000e-01  9.73877913e-01 
 9.20500000e-09  9.00000000e-01  9.73877943e-01 
 9.21500000e-09  9.00000000e-01  9.73878216e-01 
 9.22500000e-09  9.00000000e-01  9.73878219e-01 
 9.23500000e-09  9.00000000e-01  9.73878460e-01 
 9.24500000e-09  9.00000000e-01  9.73878442e-01 
 9.25500000e-09  9.00000000e-01  9.73878656e-01 
 9.26500000e-09  9.00000000e-01  9.73878622e-01 
 9.27500000e-09  9.00000000e-01  9.73878815e-01 
 9.28500000e-09  9.00000000e-01  9.73878768e-01 
 9.29500000e-09  9.00000000e-01  9.73878943e-01 
